"PAYS","REGION","NUTS","ANNEE","NB_OBS","warm_moy","leaking_moy","warm_na","leaking_na","PERIODE","ANNEES_PRESENTES"
"IT","ITE","NUTS 1",2004,5926,0.9398,0.1789,0,0,NA,NA
"ES","ES2","NUTS 1",2004,2483,0.9456,0.1365,0,0,NA,NA
"TR","TR1","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"TR","TR4","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"GR","GR1","NUTS 1",2004,2207,0.9243,0.1989,0,0,NA,NA
"ES","ES3","NUTS 1",2004,1393,0.9432,0.1572,7e-04,0,NA,NA
"TR","TR8","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"TR","TR9","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"TR","TR2","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"TR","TRA","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"IT","ITF","NUTS 1",2004,4450,0.929,0.1879,0,0,NA,NA
"TR","TR7","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"TR","TR5","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"TR","TR3","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"PT","PT1","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"ES","ES4","NUTS 1",2004,2370,0.9354,0.1527,0,0,NA,NA
"ES","ES5","NUTS 1",2004,3438,0.9438,0.1495,3e-04,3e-04,NA,NA
"TR","TRB","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"GR","GR2","NUTS 1",2004,1367,0.9049,0.2019,0,0,NA,NA
"TR","TR6","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"MT","MT0","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"CY","CY0","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"GR","GR4","NUTS 1",2004,684,0.9181,0.2222,0,0,NA,NA
"IT","ITG","NUTS 1",2004,1847,0.9285,0.1873,0,0,NA,NA
"TR","TRC","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"PT","PT2","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"GR","GR3","NUTS 1",2004,1994,0.9413,0.2161,0,0,NA,NA
"ES","ES6","NUTS 1",2004,2741,0.9401,0.1426,4e-04,0,NA,NA
"PT","PT3","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"ES","ES7","NUTS 1",2004,759,0.9446,0.166,0.0013,0,NA,NA
"FR","FR9","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"IS","IS0","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"FI","FI2","NUTS 1",2004,87,0.977,0.0345,0,0,NA,NA
"NO","NO0","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"EE","EE0","NUTS 1",2004,3993,0.9842,0.3489,0,0,NA,NA
"LV","LV0","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKC","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"LT","LT0","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE6","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE8","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL6","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKE","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKD","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE3","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKG","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL1","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKH","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKL","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DEE","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL5","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"FR","FR3","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"BE","BE3","NUTS 1",2004,1791,0.9587,0.1234,0,0,NA,NA
"CZ","CZ0","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"SK","SK0","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE1","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"LI","LI0","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"AT","AT2","NUTS 1",2004,999,0.959,0.0851,0,0,NA,NA
"HU","HU2","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"SI","SI0","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"FR","FR7","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"FR","FR6","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"ES","ES1","NUTS 1",2004,2171,0.9314,0.1446,0,0,NA,NA
"FI","FI1","NUTS 1",2004,11113,0.9646,0.0483,0.0016,0.0015,NA,NA
"SE","SE0","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKM","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"DK","DK0","NUTS 1",2004,6866,0.9315,0.068,7e-04,4e-04,NA,NA
"UK","UKN","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DEF","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE5","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"NL","NL1","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKF","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"IE","IE0","NUTS 1",2004,5477,0.9644,0.1088,2e-04,2e-04,NA,NA
"PL","PL4","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"NL","NL2","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE4","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE9","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKI","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"NL","NL3","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"NL","NL4","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"BE","BE1","NUTS 1",2004,731,0.9562,0.1259,0,0,NA,NA
"BE","BE2","NUTS 1",2004,2753,0.9608,0.1151,0,0,NA,NA
"DE","DEA","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKJ","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DED","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DEG","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKK","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL3","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"LU","LU0","NUTS 1",2004,3571,0.9961,0.1499,3e-04,8e-04,NA,NA
"PL","PL2","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE7","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DEC","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DEB","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"FR","FR1","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE2","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"HU","HU1","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"AT","AT1","NUTS 1",2004,1993,0.9654,0.0863,0,0,NA,NA
"FR","FR4","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"AT","AT3","NUTS 1",2004,1529,0.9594,0.0804,7e-04,0,NA,NA
"FR","FR2","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"HU","HU3","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"CH","CH0","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"FR","FR5","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"IT","ITD","NUTS 1",2004,5882,0.9439,0.178,0,0,NA,NA
"IT","ITC","NUTS 1",2004,6165,0.9351,0.1804,0,0,NA,NA
"BG","BG3","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"BG","BG4","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"HR","HR0","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"RO","RO1","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"RO","RO2","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"RO","RO3","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"RO","RO4","NUTS 1",2004,NA,NA,NA,NA,NA,NA,NA
"SE","SE06","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"FI","FI20","NUTS 2",2004,87,0.977,0.0345,0,0,NA,NA
"NO","NO01","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"NO","NO04","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"FR","FR71","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"IT","ITC1","NUTS 2",2004,1649,0.9309,0.1837,0,0,NA,NA
"FI","FI13","NUTS 2",2004,1629,0.9723,0.0473,0.0018,0.0012,NA,NA
"FI","FI18","NUTS 2",2004,5096,0.9617,0.0517,0.001,0.0018,NA,NA
"NO","NO05","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"NO","NO03","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"SE","SE01","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"IT","ITD3","NUTS 2",2004,1930,0.9425,0.1715,0,0,NA,NA
"IT","ITD5","NUTS 2",2004,1819,0.939,0.1814,0,0,NA,NA
"IT","ITC3","NUTS 2",2004,1159,0.9353,0.1846,0,0,NA,NA
"ES","ES13","NUTS 2",2004,471,0.9151,0.155,0,0,NA,NA
"FR","FR62","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"IT","ITE3","NUTS 2",2004,1139,0.9403,0.1756,0,0,NA,NA
"ES","ES21","NUTS 2",2004,832,0.9495,0.137,0,0,NA,NA
"FR","FR82","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"ES","ES12","NUTS 2",2004,661,0.9455,0.1467,0,0,NA,NA
"FR","FR61","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"ES","ES22","NUTS 2",2004,472,0.9555,0.1271,0,0,NA,NA
"IT","ITE2","NUTS 2",2004,1052,0.9468,0.1759,0,0,NA,NA
"FR","FR81","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"IT","ITE1","NUTS 2",2004,1751,0.9395,0.1925,0,0,NA,NA
"ES","ES11","NUTS 2",2004,1039,0.9297,0.1386,0,0,NA,NA
"IT","ITF2","NUTS 2",2004,439,0.9317,0.2005,0,0,NA,NA
"ES","ES51","NUTS 2",2004,1693,0.9468,0.1435,6e-04,0,NA,NA
"ES","ES23","NUTS 2",2004,480,0.9354,0.1688,0,0,NA,NA
"IT","ITF1","NUTS 2",2004,554,0.9332,0.1877,0,0,NA,NA
"FR","FR83","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"IT","ITE4","NUTS 2",2004,1984,0.936,0.1704,0,0,NA,NA
"TR","TR81","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"FI","FI1A","NUTS 2",2004,1390,0.9582,0.0439,7e-04,7e-04,NA,NA
"SE","SE07","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"IS","IS00","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"NO","NO06","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"NO","NO02","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"TR","TR21","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"ES","ES41","NUTS 2",2004,1035,0.9227,0.1527,0,0,NA,NA
"PT","PT11","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"TR","TR83","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"IT","ITF5","NUTS 2",2004,489,0.9284,0.1861,0,0,NA,NA
"TR","TR90","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"TR","TR51","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"SE","SE08","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"NO","NO07","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"FI","FI19","NUTS 2",2004,2998,0.9682,0.0451,0.003,0.0017,NA,NA
"ES","ES24","NUTS 2",2004,699,0.9413,0.1202,0,0,NA,NA
"TR","TR10","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"ES","ES30","NUTS 2",2004,1393,0.9432,0.1572,7e-04,0,NA,NA
"TR","TR82","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"IT","ITF3","NUTS 2",2004,1296,0.9236,0.1914,0,0,NA,NA
"TR","TR42","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"GR","GR11","NUTS 2",2004,390,0.9154,0.1923,0,0,NA,NA
"GR","GR13","NUTS 2",2004,190,0.9158,0.1684,0,0,NA,NA
"GR","GR12","NUTS 2",2004,1141,0.9299,0.2138,0,0,NA,NA
"TR","TR41","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"GR","GR14","NUTS 2",2004,486,0.9218,0.1811,0,0,NA,NA
"IT","ITF4","NUTS 2",2004,1008,0.9385,0.1815,0,0,NA,NA
"TR","TR22","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"TR","TRA1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"TR","TRA2","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"IT","ITG2","NUTS 2",2004,670,0.9194,0.1851,0,0,NA,NA
"SE","SE02","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"EE","EE00","NUTS 2",2004,3993,0.9842,0.3489,0,0,NA,NA
"SE","SE09","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKM2","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKM4","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DK","DK00","NUTS 2",2004,6866,0.9315,0.068,7e-04,4e-04,NA,NA
"UK","UKD1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKC2","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKN0","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"IE","IE01","NUTS 2",2004,1482,0.9561,0.1201,0,0,NA,NA
"UK","UKE4","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL61","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKD3","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKE3","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKD2","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKM1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"SE","SE0A","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"LV","LV00","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"SE","SE04","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKM3","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKC1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL63","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"LT","LT00","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL62","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE93","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"NL","NL13","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKG2","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKH1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKG3","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE41","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"NL","NL32","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"NL","NL31","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKE2","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL42","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DEF0","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKD4","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL34","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE60","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKE1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE80","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL41","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE92","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"NL","NL22","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"NL","NL33","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DEE1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKF3","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKD5","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"NL","NL11","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE50","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"NL","NL12","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKF1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"NL","NL23","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE30","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKF2","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"TR","TRC2","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"GR","GR41","NUTS 2",2004,139,0.8993,0.2374,0,0,NA,NA
"TR","TR32","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PT","PT15","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"GR","GR25","NUTS 2",2004,363,0.9229,0.1983,0,0,NA,NA
"TR","TR63","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PT","PT20","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"GR","GR30","NUTS 2",2004,1994,0.9413,0.2161,0,0,NA,NA
"IE","IE02","NUTS 2",2004,3995,0.9675,0.1047,3e-04,3e-04,NA,NA
"NL","NL21","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKG1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL43","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE94","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL12","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKH2","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DEE3","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE42","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"ES","ES63","NUTS 2",2004,286,0.9371,0.1049,0,0,NA,NA
"GR","GR42","NUTS 2",2004,169,0.9349,0.2308,0,0,NA,NA
"ES","ES64","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PT","PT30","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"ES","ES70","NUTS 2",2004,759,0.9446,0.166,0.0013,0,NA,NA
"FR","FR91","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"FR","FR93","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DEA4","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL11","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKL1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE91","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"GR","GR22","NUTS 2",2004,88,0.8636,0.2159,0,0,NA,NA
"TR","TRB2","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"TR","TRC3","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"TR","TR52","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"TR","TR62","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"TR","TR61","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"IT","ITG1","NUTS 2",2004,1177,0.9337,0.1886,0,0,NA,NA
"ES","ES61","NUTS 2",2004,1840,0.938,0.1451,5e-04,0,NA,NA
"TR","TRC1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"MT","MT00","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"CY","CY00","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"GR","GR43","NUTS 2",2004,376,0.9176,0.2128,0,0,NA,NA
"FR","FR92","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"FR","FR94","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKI1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKH3","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL31","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DEE2","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DED3","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"BE","BE21","NUTS 2",2004,907,0.9669,0.1301,0,0,NA,NA
"NL","NL42","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"BE","BE24","NUTS 2",2004,455,0.9692,0.0879,0,0,NA,NA
"BE","BE22","NUTS 2",2004,339,0.9558,0.0973,0,0,NA,NA
"UK","UKK3","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKJ2","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"BE","BE31","NUTS 2",2004,101,0.9901,0.0891,0,0,NA,NA
"UK","UKK2","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DEA2","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKJ3","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"BE","BE33","NUTS 2",2004,535,0.9682,0.1084,0,0,NA,NA
"CZ","CZ02","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DED1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DEG0","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"BE","BE32","NUTS 2",2004,745,0.949,0.1436,0,0,NA,NA
"UK","UKK4","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL32","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"LU","LU00","NUTS 2",2004,3571,0.9961,0.1499,3e-04,8e-04,NA,NA
"DE","DEA3","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"NL","NL41","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKJ1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKL2","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKK1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKI2","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"UK","UKJ4","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL21","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL22","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DEB1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"BE","BE34","NUTS 2",2004,166,0.9518,0.1265,0,0,NA,NA
"FR","FR22","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DE71","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"NL","NL34","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL33","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DEA1","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL51","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"PL","PL52","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
"DE","DEA5","NUTS 2",2004,NA,NA,NA,NA,NA,NA,NA
